Código,Nombre,Peso (kg/m),Largo (m)
01209,"CAÑO RECTANGULAR 35,0 x 40,0 x 1,5mm",0.583,6.05
01210,"CAÑO RECTANGULAR 30,0 x 20,0 x 1,1mm",0.3,6.05
01211,"CAÑO RECTANGULAR 40,0 x 20,0 x 1,1mm",0.342,6.05
01212,"CAÑO RECTANGULAR 60,0 x 40,0 x 3,0mm",1.54,6.05
01213,"CAÑO RECTANGULAR 75,0 x 25,0 x 1,5mm",0.8,6.05
01214,"CAÑO RECTANGULAR 40,0 x 20,0 x 1,5mm",0.46,6.05
01215,"CAÑO RECTANGULAR 20,0 x 30,0 x 1,5mm",0.388,6.05
01216,"CAÑO RECTANGULAR 30,0 x 20,0 x 1,9mm",0.474,6.05
01217,"CAÑO RECTANGULAR 70,0 x 30,0 x 1.5mm",0.8,6.05
01218,"CAÑO RECTANGULAR 100,0 x 50,0 x 1.5mm",1.22,6.05
01219,"CAÑO RECTANGULAR 100,0 x 25,0 x 2,5mm",1.652,6.05
01220,"CAÑO RECTANGULAR 108,7 x 55 x 2mm",1.76,6.05
01221,"CAÑO RECTANGULAR 150 x 25 x 1,5 mm",1.421,6.05
,,,
,,,
01300,,,
01301,"CAÑO REDONDO 9,0 x 1,0mm",0.069,
01302,"CAÑO REDONDO 12,7 x 1,2mm",0.12,
01303,"CAÑO REDONDO 15,8 x 1mm",0.14,
01304,"CAÑO REDONDO 19,0 x 1,5mm",0.23,
01305,"CAÑO REDONDO 19,0 x 1,0mm",0.18,
01306,,,
01307,,0.19,
01308,"CAÑO REDONDO 25,4 x 1,3mm",0.27,
01309,,,
01310,"CAÑO REDONDO 28,4 x 0,9mm",0.214,
01311,,,
01312,"CAÑO REDONDO 31,85 x 1,0mm",0.266,SE MODIFICO  MATRIZ PARA CLIENTE VULCANO
01313,"CAÑO REDONDO 34,0 x 1,5mm",0.42,
01314,"CAÑO REDONDO 45,0 x 4,5mm",1.576,
01315,"CAÑO REDONDO 18,0 x 1,5mm",0.22,
01316,"CAÑO REDONDO 30,0 x 3,0mm",0.701,
01317,"CAÑO REDONDO 18,0 x 1,0mm",0.147,
01318,"CAÑO REDONDO 22,0 x 2,0mm",0.348,
01319,"CAÑO REDONDO 38,0 x 1,5mm",0.47,
01320,,,
01321,,,
01322,"CAÑO REDONDO 19 x 0,9mm",0.14,6.05
01323,"CAÑO REDONDO 13 x 1,5mm",0.15,6.05
01324,CAÑO REDONDO 24 x 3mm,0.545,6.05
01325,,,
01326,"CAÑO REDONDO 14,3 x 1,0mm",0.12,
01327,"CAÑO REDONDO 22,0 x 1,0mm",0.181,
01328,,,
01329,"CAÑO REDONDO 25,8 x 1,2mm",0.25,
01330,"CAÑO REDONDO 15,88 x 1,25mm",0.158,
01331,"CAÑO REDONDO 50,0 x 1,1mm",0.465,
01332,"CAÑO REDONDO 45,0 x 1,3mm",0.5,6.05
01333,"CAÑO REDONDO 50,0 x 2,0mm",0.83,
01334,"CAÑO REDONDO 22,0 x 1,3mm",0.23,
01335,"CAÑO REDONDO 50,8 x 3mm",1.24,
01336,"CAÑO REDONDO 9,5 x 0,95mm",0.07,
01337,"CAÑO REDONDO 9,52 x 0,95mm",0.07,
01338,"CAÑO REDONDO 31,7 x 1,5mm",0.39,
01339,"CAÑO REDONDO 15,8 x 1,3mm",0.16,
01340,"CAÑO REDONDO 25,4 x 1,6mm",0.29,
01341,"CAÑO REDONDO 22,0 x 1,6mm",0.282,
01342,"CAÑO REDONDO 15,87 x 5,0mm",0.47,
01343,"CAÑO REDONDO 25,4 x 1,3mm","0,271","6,05"
01344,,,
01345,,,
01346,,,
01347,,,
01348,,,
01349,,,
01350,"CAÑO REDONDO 50 x 1,1mm",0.465,6.05
01351,,,
01352,"CAÑO REDONDO 76,00 x 1,4mm",0.903,6.05
01353,"CAÑO REDONDO 60,00 x1,2mm",0.61,6.05
01354,,,
01355,,,
01356,,,
01357,,,
01358,,,
01359,,,
01360,,,
01361,,,
01362,,,
01363,,,
01364,,,
01365,,,
01366,,,
01367,,,
01368,,,
01369,,,
01370,"CAÑO REDONDO 76,2 x 1,25mm",0.86,6.05
01380,FRENTE DE BOTIQUIN,,
01381,CONTRAVIDRIO DE BOTIQUIN,,
01382,MANIJA FRENTE DE BOTIQUIN,,
01400,,,
01401,,,
01402,,,
01403,,,
01404,"BARRA REDONDA 8,00mm",0.14,
01405,,,
01406,BARRA REDONDA 16 mm,0.553,3
01407,,,
01408,,,
01409,"BARRA REDONDA 9,18mm",0.182,6.05
01410,"BARRA REDONDA 10,00mm",0.22,
01411,"BARRA REDONDA 11,11mm",0.27,
01412,"BARRA REDONDA 12,70mm",0.35,
01413,"BARRA REDONDA 13,00mm",0.37,
01414,"BARRA REDONDA 14,29mm",0.441,
01415,"BARRA REDONDA 15,87mm",0.55,
